[30/09/2025 11:24:39] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 11:25:16] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 11:32:48] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 11:33:29] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 11:58:34] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 13:05:52] [INFO] received Windows console close event; shutting log-core down
[30/09/2025 14:49:01] [INFO] received Windows console close event; shutting log-core down
[11/10/2025 06:07:37] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 21:06:29] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 21:41:12] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 21:49:52] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 22:31:42] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 23:00:45] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 23:04:56] [INFO] received Windows console close event; shutting log-core down
[22/03/2026 23:16:36] [INFO] received Windows console close event; shutting log-core down
